Pe,alpha,level,metric
5.760472792885663,0.5,0.5,skewness
6.0,0.48595244388534814,0.5,skewness
6.334706014192619,0.45,0.5,skewness
6.517257124130212,0.4,0.5,skewness
8.0,0.28826294549878007,0.5,skewness
8.545052897996584,0.25,0.5,skewness
9.045889331458971,0.2,0.5,skewness
10.0,0.1595648903093391,0.5,skewness
12.0,0.12198325483604884,0.5,skewness
12.973389168539402,0.1,0.5,skewness
14.0,0.08365969980880579,0.5,skewness
16.0,0.061894750330084826,0.5,skewness
17.385602116415782,0.05,0.5,skewness
18.0,0.0425798729319093,0.5,skewness
20.0,0.025871016603629473,0.5,skewness
7.384604122242575,0.5,0.5,kurtosis
7.374324280940434,0.45000000000000007,0.5,kurtosis
7.964858673219932,0.4,0.5,kurtosis
8.0,0.39727754664343246,0.5,kurtosis
10.0,0.273365237125196,0.5,kurtosis
10.37584970536942,0.25,0.5,kurtosis
11.375127000529243,0.19999999999999998,0.5,kurtosis
12.0,0.17899636848239622,0.5,kurtosis
14.0,0.15599766731994816,0.5,kurtosis
15.28221971209685,0.1,0.5,kurtosis
16.0,0.08760441472796998,0.5,kurtosis
18.000000000000004,0.07818422887012824,0.5,kurtosis
20.0,0.07191925028351989,0.5,kurtosis
